,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,0.0,0.0,0.0,0.0,1.4023881997997363e-06,0.12404401592486489,3.179375925051068e-08,0.0,5.852474436957328e-26,5.656237347339914e-16,0.0,0.0,1.4120540992324255e-300,1.8590032028041032e-36,0.0,3.21866762451862e-26
obs_wind_speed_30m,0.0,0.0,0.0,0.0,1.97362567999088e-17,0.006984270425207324,0.01129452060427186,0.0,1.9243329814828761e-34,4.862334039983327e-40,1.545255516193348e-305,2.994696500547475e-171,5.318362473330191e-64,1.4351754658247706e-179,4.917140024718663e-142,8.423326903726437e-166
obs_wind_speed_50m,0.0,0.0,0.0,0.0,1.9949163624280778e-14,0.03942298794756121,0.034263046533462835,0.0,5.998972951815357e-43,2.3662216261533593e-77,0.0,4.3108918257549385e-104,1.6401259825559637e-70,4.063277557929569e-301,1.933568513111027e-177,7.401244817785363e-283
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.00018037869216799526,7.39169271792069e-11,0.9387384246376633,0.0,5.045213224191505e-32,1.2163047843685856e-108,5.3067883179716355e-238,2.92086693478814e-73,7.100832397810471e-15,0.0,1.6695637110426997e-91,0.0
obs_temperature_10m,1.4023881997997363e-06,1.97362567999088e-17,1.9949163624280778e-14,0.00018037869216799526,0.0,0.0,0.0,2.142982616386779e-17,0.0,2.6303094293014945e-45,1.1348079208087293e-33,7.751689820606213e-205,0.0,0.0,1.1683657806985115e-202,0.0
obs_humidity_10m,0.12404401592486489,0.006984270425207324,0.03942298794756121,7.39169271792069e-11,0.0,0.0,7.448974996962805e-19,0.04189224766356462,2.271919592247731e-69,1.0785344235808484e-77,8.63083551499615e-22,9.17472902485391e-39,1.5827780621715733e-256,1.788489779056833e-30,2.3140802666291e-223,1.2591242931201104e-39
obs_density_10m,3.179375925051068e-08,0.01129452060427186,0.034263046533462835,0.9387384246376633,0.0,7.448974996962805e-19,0.0,8.67274401835804e-09,4.9071886968675805e-32,0.00012523026683548445,0.8440346009283365,0.7084494748316476,4.804718113146334e-07,0.00040026524944508114,2.062754956131965e-05,0.00019710453016298508
power,0.0,0.0,0.0,0.0,2.142982616386779e-17,0.04189224766356462,8.67274401835804e-09,0.0,2.592046074497386e-13,1.2824797303261984e-59,4.2745466166334514e-291,5.161620335532207e-246,2.5816558985143482e-107,7.323292019197591e-110,4.513100875826631e-186,5.639618309707822e-97
obs_wind_dir_sin_10m,5.852474436957328e-26,1.9243329814828761e-34,5.998972951815357e-43,5.045213224191505e-32,0.0,2.271919592247731e-69,4.9071886968675805e-32,2.592046074497386e-13,0.0,0.9161031895449244,1.4159655868310344e-151,1.7379579264911552e-147,3.417954477757723e-256,3.5256553730665383e-13,2.622856518064194e-240,1.4280573009597414e-19
obs_wind_dir_cos_10m,5.656237347339914e-16,4.862334039983327e-40,2.3662216261533593e-77,1.2163047843685856e-108,2.6303094293014945e-45,1.0785344235808484e-77,0.00012523026683548445,1.2824797303261984e-59,0.9161031895449244,0.0,0.32776274057311383,0.0,1.109097570659684e-177,0.0,0.0005878618146111878,0.0
obs_wind_dir_sin_30m,0.0,1.545255516193348e-305,0.0,5.3067883179716355e-238,1.1348079208087293e-33,8.63083551499615e-22,0.8440346009283365,4.2745466166334514e-291,1.4159655868310344e-151,0.32776274057311383,0.0,0.0,0.0,4.9899021929869076e-23,0.0,0.0018864001809191077
obs_wind_dir_cos_30m,0.0,2.994696500547475e-171,4.3108918257549385e-104,2.92086693478814e-73,7.751689820606213e-205,9.17472902485391e-39,0.7084494748316476,5.161620335532207e-246,1.7379579264911552e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_sin_50m,1.4120540992324255e-300,5.318362473330191e-64,1.6401259825559637e-70,7.100832397810471e-15,0.0,1.5827780621715733e-256,4.804718113146334e-07,2.5816558985143482e-107,3.417954477757723e-256,1.109097570659684e-177,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_cos_50m,1.8590032028041032e-36,1.4351754658247706e-179,4.063277557929569e-301,0.0,0.0,1.788489779056833e-30,0.00040026524944508114,7.323292019197591e-110,3.5256553730665383e-13,0.0,4.9899021929869076e-23,0.0,0.0,0.0,7.719477804022045e-05,0.0
obs_wind_dir_sin_70m,0.0,4.917140024718663e-142,1.933568513111027e-177,1.6695637110426997e-91,1.1683657806985115e-202,2.3140802666291e-223,2.062754956131965e-05,4.513100875826631e-186,2.622856518064194e-240,0.0005878618146111878,0.0,0.0,0.0,7.719477804022045e-05,0.0,3.2611615782963397e-15
obs_wind_dir_cos_70m,3.21866762451862e-26,8.423326903726437e-166,7.401244817785363e-283,0.0,0.0,1.2591242931201104e-39,0.00019710453016298508,5.639618309707822e-97,1.4280573009597414e-19,0.0,0.0018864001809191077,0.0,0.0,0.0,3.2611615782963397e-15,0.0
